T_battery_loss,T_battery_mae,liquid_frac_loss,liquid_frac_mae,loss,val_T_battery_loss,val_T_battery_mae,val_liquid_frac_loss,val_liquid_frac_mae,val_loss,learning_rate
0.03421788662672043,0.2120107114315033,0.014717195183038712,0.10095816105604172,1.1158521175384521,0.01012540701776743,0.1420901119709015,0.017364609986543655,0.13177108764648438,1.0760400295257568,4.999999873689376e-05
0.02762114256620407,0.18229717016220093,0.01592426747083664,0.10514611750841141,1.0790730714797974,0.004088260233402252,0.09020853787660599,0.015957031399011612,0.1263158768415451,1.0392818450927734,4.999999873689376e-05
0.025467492640018463,0.172053724527359,0.01377113163471222,0.09657058864831924,1.0461899042129517,0.0027602738700807095,0.07408369332551956,0.01344771683216095,0.11595859378576279,1.0075583457946777,4.999999873689376e-05
0.0244353748857975,0.16769111156463623,0.012290681712329388,0.08992845565080643,1.0152703523635864,0.0021260655485093594,0.06499005109071732,0.012300227768719196,0.1109006255865097,0.9775528907775879,4.999999873689376e-05
0.023213006556034088,0.1626177281141281,0.01167245302349329,0.0873345136642456,0.9852230548858643,0.0015415889210999012,0.05530582740902901,0.011699006892740726,0.10815607011318207,0.9485765695571899,4.999999873689376e-05
0.02269214205443859,0.15956424176692963,0.011034861207008362,0.08440359681844711,0.9567108154296875,0.0013204766437411308,0.05116928741335869,0.010433119721710682,0.1021367684006691,0.9206995964050293,4.999999873689376e-05
0.02199069783091545,0.15530969202518463,0.01050241943448782,0.08229084312915802,0.928799569606781,0.0009890975197777152,0.044254120439291,0.01020631194114685,0.10101991146802902,0.8937070369720459,4.999999873689376e-05
0.020743247121572495,0.15153688192367554,0.010240936651825905,0.08070962876081467,0.9012945890426636,0.000779231486376375,0.03925163671374321,0.010210717096924782,0.10104156285524368,0.8676616549491882,4.999999873689376e-05
0.02058311551809311,0.14965017139911652,0.009874073788523674,0.07922837883234024,0.8755900263786316,0.0007664261502213776,0.038925085216760635,0.009711228311061859,0.09853906184434891,0.8425008058547974,4.999999873689376e-05
0.019713910296559334,0.1467134654521942,0.009660293348133564,0.07810672372579575,0.8499366044998169,0.0006930687231943011,0.03700532019138336,0.009381473995745182,0.09685064852237701,0.8181039094924927,4.999999873689376e-05
0.019622275605797768,0.1449040025472641,0.009531344287097454,0.07719386368989944,0.825917661190033,0.0005882758414372802,0.03407243266701698,0.00914847943931818,0.09564024955034256,0.7944496273994446,4.999999873689376e-05
0.018771272152662277,0.14210012555122375,0.009340183809399605,0.07679902017116547,0.8018883466720581,0.0005290501867420971,0.03229866176843643,0.009064821526408195,0.09520207345485687,0.7716193199157715,4.999999873689376e-05
