ar,simulation,mae_full,rmse_full,r2_full,mae_p60,rmse_p60,r2_p60
0.3,1,0.41476792,0.68507826,0.9945481419563293,0.41476792,0.68507826,0.9945481419563293
0.4,1,1.3186651,1.4992664,0.9974194169044495,1.3186651,1.4992664,0.9974194169044495
0.5,1,1.6376773,2.5288775,0.9927229881286621,1.6376773,2.5288775,0.9927229881286621
