aspect_ratio,temp_min,temp_max,temp_mean,temp_range,mae_full,rmse_full,r2_full,relative_error_pct,efficiency_pct,samples_total
0.3,302.32266,353.0114,347.72638,50.68875,0.41476792,0.68507826,0.9945481419563293,0.119279966,99.18173,3749
0.4,301.49652,413.51505,390.18567,112.018524,1.3186651,1.4992664,0.9974194169044495,0.3379584,98.822815,4124
0.5,302.32333,415.30048,395.64145,112.97714,1.6376773,2.5288775,0.9927229881286621,0.41392967,98.55043,3749
