loss,mse,rmse
0.1279504634699801,0.271728567298851,0.3902535401816879
0.007504606538779106,0.01500990246913716,0.09619958513815488
0.013202808342482188,0.026405616684964377,0.12050243642048113
0.0334154126174326,0.0668308252348652,0.20398176642733493
0.005727326731188701,0.011454653462377402,0.07393354969099164
0.008510814684242567,0.017021629368485135,0.09430782525866692
0.0008313735358383059,0.0016627470716766117,0.030065719829872252
0.0007172719875078266,0.0014345439750156532,0.026176616250138198
0.0007049093772463623,0.0014098187544927246,0.026943299589246246
0.0005013952905983388,0.0010027905811966775,0.02091379415110818
0.0005331162069820396,0.0010662324139640792,0.022606284476517302
0.0004128717498133483,0.0008257434996266966,0.020102329914724187
0.00034043557782784513,0.0006808711556556903,0.018217331664137807
0.0012290834060552566,0.0024581668121105133,0.03909955924443368
0.0011179240088949882,0.0022358480177899764,0.0365262702905706
0.0016562998176855867,0.0033125996353711735,0.04559583601408771
0.0026630300247883756,0.005326060049576751,0.05654735228578959
0.014572422563903079,0.029144845127806157,0.10829322981880977
0.0032576322959278464,0.006515264591855693,0.06077762742726398
0.0011602743123000487,0.0023205486246000973,0.03926947547837959
0.0010791620173195935,0.002158324034639187,0.036286456132906354
0.0020420470924364053,0.0040840941848728106,0.05504464454549764
0.0033459936929310582,0.0066919873858621165,0.07036582910056625
0.0009384298597491839,0.0018768597194983678,0.03385029290802777
0.0003851007614866627,0.0007702015229733254,0.01941641012547604
0.00033763841265762755,0.0006752768253152551,0.01943789190845564
0.00029583456459606947,0.0005916691291921389,0.01690672126132995
0.00031368989893232015,0.0006273797978646403,0.018346324167214333
0.0003826877266565784,0.0007653754533131568,0.020835376783673254
0.00022176735501610827,0.00044353471003221655,0.016240188939264044
0.00030134105895456286,0.0006026821179091257,0.019692438512408574
0.00030713843597777974,0.0006142768719555595,0.017768215301163893
0.0002357117965853409,0.0004714235931706818,0.015528553703916259
0.00047715002999991284,0.0009543000599998257,0.024791845029020414
0.0005774024090815796,0.0011548048181631591,0.027504162324060288
0.0007176536840554653,0.0014353073681109307,0.030529378133776066
0.0034730239724727395,0.006946047944945479,0.07206813169177621
0.0015282481234505341,0.0030564962469010683,0.04355885400436819
0.0037226967581830196,0.007445393516366039,0.0686096632886412
0.004144307682879246,0.008288615365758492,0.07215146188890295
0.0018948148730584893,0.0037896297461169786,0.04949436796097351
0.00037103733565848934,0.0007420746713169787,0.02058959988478039
0.0037104737305071467,0.007420947461014293,0.07243885539272533
0.00034084128701457366,0.0006816825740291473,0.017790894419886173
0.0002593437464552397,0.0005186874929104793,0.01581768505483134
0.00019441491365240282,0.00038882982730480565,0.012662874488991551
0.00022742139050129545,0.0004548427810025909,0.01576897037282054
0.0004982462274877467,0.0009964924549754933,0.02430581732769497
0.0004894982399572914,0.0009789964799145829,0.02546265419140192
0.0010614287158594899,0.0021228574317189797,0.036554555611551874
0.010949512232881327,0.021899024465762654,0.10670505461748689
0.0005730193222088279,0.0011460386444176558,0.026820534471023297
0.0008532760150176598,0.0017065520300353196,0.03557404623300369
0.001134043971308074,0.002268087942616148,0.039168567350134256
0.0010676911370840767,0.0021353822741681534,0.04017492187142904
0.00037477680762906725,0.0007495536152581345,0.021797316024146442
0.0005735451436034314,0.0011470902872068628,0.028378090684834337
0.0012491274678187178,0.0024982549356374357,0.04060704493063635
0.0004194119029729596,0.0008388238059459192,0.02297081721813551
0.0005641701237534238,0.0011283402475068475,0.026649342384189367
0.0004951745948065879,0.0009903491896131758,0.024748633454977867
0.0011101469742064703,0.0022202939484129405,0.036992461944464594
0.0007157743053377479,0.0014315486106754958,0.03109486021567136
0.0018286356298920583,0.0036572712597841167,0.03954508883928481
0.006239022311621868,0.012478044623243737,0.09843084692755448
0.0010723285069618425,0.002144657013923685,0.03054910168035089
0.0021223155715883227,0.0042446311431766455,0.054839711104120524
0.0005968060476894671,0.0011936120953789343,0.02415729396244777
0.00031072590647828033,0.0006214518129565607,0.0208310914874476
0.00029405629714085126,0.0005881125942817025,0.018936151922597285
0.0010324126547012773,0.0020648253094025545,0.03461356688224312
0.0003012775894934602,0.0006025551789869204,0.01915906082057128
0.00043198679272446076,0.0008639735854489215,0.0236503736224092
0.0019279193792954175,0.003855838758590835,0.04942099013798205
0.0033414138818833247,0.0066828277637666494,0.0672321092470416
0.0011086123386511255,0.002217224677302251,0.036949631224186825
