run,TestTimes,VoltageV,CurrentA,SurfaceTempdegC,TsurfaceK,deltaTK,SoCproxy,powerW,dVdt,dTdt,window_mean_temp_C,window_max_temp_C,temp_rise_from_start_C
k3,4732.146528,3.010021686553955,-16.747474670410156,25.35446548461914,298.5044654846191,0.3544654846191406,0.3000127567964441,50.41026195294762,-1.1585049629211426,0.046844482421875,25.31698989868164,25.815196990966797,-0.46073150634765625
k3,4733.145728,2.9994890689849854,-16.74761962890625,25.35446548461914,298.5044654846191,0.3544654846191406,0.29381709940293255,50.234302008422674,-0.010532617568969727,0.0,25.326358795166016,25.815196990966797,-0.46073150634765625
k3,4734.145728,2.9861769676208496,-16.747161865234375,25.35446548461914,298.5044654846191,0.3544654846191406,0.28598645154167623,50.00998903498112,-0.013312101364135742,0.0,25.33572769165039,25.815196990966797,-0.46073150634765625
k3,4735.145528,2.975905179977417,-16.747283935546875,25.43512725830078,298.58512725830076,0.43512725830078125,0.27994422351612763,49.83832901434653,-0.010271787643432617,0.08066177368164062,25.361228942871094,25.815196990966797,-0.3800697326660156
k3,4736.146328000001,2.9673197269439697,-16.74742889404297,25.43512725830078,298.58512725830076,0.43512725830078125,0.2748939570258645,49.69497613288513,-0.008585453033447266,0.0,25.386730194091797,25.815196990966797,-0.3800697326660156
k3,4737.146428,2.9576330184936523,-16.747230529785156,25.71014515415856,298.86014515415854,0.7101451541585675,0.2691958932315602,49.53216198321752,-0.009686708450317383,0.27501789585777914,25.45786612799968,25.815196990966797,-0.10505183680823649
k3,4738.145428000001,2.950178623199463,-16.747230529785156,25.710172653198242,298.8601726531982,0.7101726531982422,0.26481095482321343,49.407321506765584,-0.007454395294189453,2.7499039681799786e-05,25.5290075617155,25.815196990966797,-0.10502433776855469
k3,4739.146428,2.941124677658081,-16.747657775878906,25.710172653198242,298.8601726531982,0.7101726531982422,0.25948510450475354,49.2569495776097,-0.009053945541381836,0.0,25.600148995431322,25.815196990966797,-0.10502433776855469
k3,4740.146628,2.932788610458374,-16.746910095214844,26.168701099982336,299.3187010999823,1.1687010999823428,0.2545815355637494,49.11514718761646,-0.008336067199707031,0.45852844678409355,25.746863763767628,26.168701099982336,0.35350410901553886
k3,4741.145728,2.924478054046631,-16.747535705566406,26.168746948242188,299.31874694824216,1.1687469482421875,0.24969297296860637,48.97780063029131,-0.008310556411743164,4.5848259851766215e-05,25.893587701755912,26.168746948242188,0.3535499572753906
k3,4742.146728000001,2.917968273162842,-16.747390747070312,26.168746948242188,299.31874694824216,1.1687469482421875,0.24586369009578926,48.868354858212115,-0.0065097808837890625,0.0,25.985308060572642,26.168746948242188,0.3535499572753906
k3,4743.146028,2.9103591442108154,-16.74756622314453,26.553564071655273,299.70356407165525,1.5535640716552734,0.24138773188871493,48.741432500804876,-0.007609128952026367,0.38481712341308594,26.153986344264048,26.553564071655273,0.7383670806884766
k3,4744.145928000001,2.901963233947754,-16.747390747070312,26.553564071655273,299.70356407165525,1.5535640716552734,0.23644896114573757,48.600312212554854,-0.008395910263061523,0.0,26.322664627955454,26.553564071655273,0.7383670806884766
k3,4745.145828000001,2.8945693969726562,-16.747283935546875,26.553564071655273,299.70356407165525,1.5535640716552734,0.23209964527803306,48.47617556224577,-0.007393836975097656,0.0,26.39963722229004,26.553564071655273,0.7383670806884766
k3,4746.146028,2.8882875442504883,-16.747512817382812,27.10651969909668,300.25651969909666,2.1065196990966797,0.22840443779440484,48.37163266762218,-0.006281852722167969,0.5529556274414062,26.587191772460937,27.10651969909668,1.2913227081298828
k3,4747.145828000001,2.8820595741271973,-16.74683380126953,27.10651969909668,300.25651969909666,2.1065196990966797,0.22474092595717485,48.26537269326582,-0.006227970123291016,0.0,26.774746322631835,27.10651969909668,1.2913227081298828
k3,4748.145728,2.877028226852417,-16.74713897705078,27.10651969909668,300.25651969909666,2.1065196990966797,0.22178130991318645,48.18199155599541,-0.0050313472747802734,0.0,26.88533744812012,27.10651969909668,1.2913227081298828
k3,4749.147028,2.873504400253296,-16.747154235839844,27.634809494018555,300.78480949401853,2.6348094940185547,0.21970847073723285,48.123021388406414,-0.0035238265991210938,0.528289794921875,27.101586532592773,27.634809494018555,1.8196125030517578
k3,4750.146728000001,2.866867780685425,-16.747215270996094,27.634809494018555,300.78480949401853,2.6348094940185547,0.21580457687377927,48.012051876621626,-0.006636619567871094,0.0,27.31783561706543,27.634809494018555,1.8196125030517578
k3,4751.146628,2.8621532917022705,-16.747215270996094,27.634809494018555,300.78480949401853,2.6348094940185547,0.2130313480601591,47.933097314728,-0.004714488983154297,0.0,27.423493576049804,27.634809494018555,1.8196125030517578
k3,4752.145928000001,2.856989860534668,-16.74713897705078,28.247882843017578,301.39788284301756,3.247882843017578,0.2099940356086282,47.84640625039901,-0.005163431167602539,0.6130733489990234,27.651766204833983,28.247882843017578,2.4326858520507812
k3,4753.146328000001,2.852621078491211,-16.747047424316406,28.247882843017578,301.39788284301756,3.247882843017578,0.20742416381835935,47.77298048509692,-0.004368782043457031,0.0,27.880038833618165,28.247882843017578,2.4326858520507812
k3,4754.145928000001,2.84554123878479,-16.747215270996094,28.826546947781495,301.97654694778146,3.8265469477814804,0.20325955222634706,47.65489168842578,-0.0070798397064208984,0.5786641047639165,28.11838632437075,28.826546947781495,3.0113499568146977
k3,4755.146128,2.839906930923462,-16.747230529785156,28.82660484313965,301.9766048431396,3.8266048431396484,0.19994525348438935,47.560576055309866,-0.005634307861328125,5.7895358153814414e-05,28.356745394194967,28.82660484313965,3.0114078521728516
k3,4756.145428000001,2.8332390785217285,-16.7471923828125,28.82660484313965,301.9766048431396,3.8266048431396484,0.19602298736572263,47.4487999145058,-0.0066678524017333984,0.0,28.595104464019187,28.82660484313965,3.0114078521728516
k3,4757.146928,2.8279175758361816,-16.747154235839844,29.42745018005371,302.5774501800537,4.427450180053711,0.1928926916683421,47.35957180877085,-0.005321502685546875,0.6008453369140625,28.831017931426413,29.42745018005371,3.612253189086914
k3,4758.146128,2.822910785675049,-16.747634887695312,29.42745018005371,302.5774501800537,4.427450180053711,0.18994752098532283,47.27707915902283,-0.0050067901611328125,0.0,29.06693139883364,29.42745018005371,3.612253189086914
